Campanha,Finalidade,Apoio_tipo,Midia,Categoria,Categoria,Local,Estado,Regiao,Arrecadado_faixa,Arrecadado_mes,Apoiadores,Apoiadores_Media,Apoiadores_faixa,Meta,Meta_faixa,Arrecadacao,Link,Raspagem
Eu apoio o Vista Pátria,público,movimentos suprapartidários,NA,"""Outras""",Outras,"RJ, Rio de Janeiro",RJ,Sudeste,entre R$500 e R$4999,"2,943.00",195,15.09,acima de 50,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/vistapatria,Março
Eu Sou Direita,privado,canais de comunicação,fanpages,"c(""Empreendedorismo"", ""Animação"")","Empreendedorismo, Animação","Vila Velha, ES",ES,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 250.00,entre R$1 e R$499,recorrente,https://apoia.se/eusoudireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Faça parte da Direita Curvelo,público,canais de comunicação,site/blog,"""Jornalismo""",Jornalismo,"Curvelo, MG",MG,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/direitacurvelomembro?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Flávio Leão Gama,privado,canais de comunicação,múltiplos,"c(""Educação"", ""Jornalismo"")","Educação, Jornalismo","Porto Alegre, RS",RS,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/flavioleaogama?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Futuro à direita,privado,canais de comunicação,site/blog,"c(""Jornalismo"", ""Escrita"")","Jornalismo, Escrita","Brasília, DF",DF,Centro-Oeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 300.00,entre R$1 e R$499,recorrente,https://apoia.se/futuroadireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Gays com Bolsonaro,público,movimentos suprapartidários,NA,"""Jornalismo""",Jornalismo,"Fortaleza, CE",CE,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/gayscombolsonaro?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
História e Política,privado,canais de comunicação,youtube," c(""Outras"", ""Educação"")"," Outras, Educação",NA,NA,NA,entre R$0 e R$499,157.00,17,9.24,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/httpswwwyoutubecomchannelucb9hemgb9bfsorndujffz3g?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
HUMOR DE DIREITA,privado,eventos,outros,"c(""Comédia"", ""Teatro"")","Comédia, Teatro",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 5,000.00",entre R$5.000 e R$9.999,NA,https://apoia.se/humordedireita,Março
Independente,privado,canais de comunicação,NA,"""Jornalismo""",Jornalismo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,NA,NA,Setembro
Invista no Direita Amazonas,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Manaus, AM",AM,Norte,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 150.00,entre R$1 e R$499,recorrente,https://apoia.se/direitaamazonas?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Jabuti Nervoso,privado,canais de comunicação,outros,"c(""Podcast"", ""Jornalismo"")","Podcast, Jornalismo",n/a,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/5c670109287b5a41199ad1ee?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Jornal A Formiga,privado,canais de comunicação,outros,"""Jornalismo""",Jornalismo,"Paraisópolis, MG",MG,Sudeste,entre R$0 e R$499,95.00,6,15.83,entre 5 e 9,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/jornalaformiga?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Jornal Bolsonaro 38,privado,canais de comunicação,fanpages,"""Outras""",Outras,"BA, Ibotirama",BA,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 1.00,entre R$1 e R$499,recorrente,https://apoia.se/jornalbolsonaro38,Março
Jornal da Rede - Informação Opinião,privado,canais de comunicação,site/blog,"""Jornalismo""",Jornalismo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 5,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/jornal?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Jovem de Direita,privado,canais de comunicação,youtube,"""Cinema e vídeo""",Cinema e vídeo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/jovemdedireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Jund News,privado,canais de comunicação,outros,"""Jornalismo""",Jornalismo,"Jundiaí, SP",SP,Sudeste,entre R$0 e R$499,1.00,1,1.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/jundnews?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Live Sem Tema,privado,outros,NA,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras","SP, São Paulo",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/livesemtema,Março
MBL Ribeirão Preto,público,movimentos suprapartidários,múltiplos,"""Outras""",Outras,"Ribeirão Preto, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/mblribeirao?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Movimento Endireita Brasil,privado,movimentos suprapartidários,outros,"""Outras""",Outras,"João Pessoa, PB",PB,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/mebrasil?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
MRB - Movimento Resgata Brasil,público,movimentos suprapartidários,NA,"""Outras""",Outras,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 10,000.00",mais de R$10 mil,recorrente,https://apoia.se/mrb?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
MS Conservador - Apoie a Direita,privado,canais de comunicação,outros,"""Escrita""",Escrita,"MS, Campo Grande",MS,Centro-Oeste,entre R$0 e R$499,10.00,1,10.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/msconservador,Março
Na Verdade de Direita,privado,canais de comunicação,youtube,"""Educação""",Educação,"Praia Grande, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 10,000.00",mais de R$10 mil,recorrente,https://apoia.se/5b283825fbab669a7a54bb73?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Nação direita + forte!,privado,canais de comunicação,outros,NA,NA,"Camaçari, BA",BA,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/ajudeanacaodireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Olavete,privado,canais de comunicação,outros,"c(""Jornalismo"", ""Educação"")","Jornalismo, Educação",NA,NA,NA,entre R$0 e R$499,50.00,1,50.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/olavete?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Opinião sem meias verdades,privado,canais de comunicação,múltiplos,"""Jornalismo""",Jornalismo,NA,NA,NA,entre R$0 e R$499,165.00,11,15.00,entre 10 e 19,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/teff_ferrari?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Opiniões Direitas,privado,canais de comunicação,múltiplos,NA,NA,"Rio do Sul, SC",SC,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 800.00,entre R$500 e R$999,recorrente,https://apoia.se/opinioesdireitas?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Oposição Zuera,privado,canais de comunicação,fanpages,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo","Cabo Frio, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/5aa807fb8c60eafe7980ae51?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Pai e Filhos (Fabiano Guiguet),privado,canais de comunicação,youtube,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo","São José do Rio Preto, SP",SP,Sudeste,entre R$0 e R$499,437.00,24,18.21,entre 20 e 29,"R$ 5,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/paiefilhos?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Patriotas Direita Nacional,privado,movimentos suprapartidários,NA,NA,NA,n/a,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/institutopatriotasdireitanacional?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Política Direita Rio Grande do Sul,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Porto Alegre, RS",RS,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/politicadireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Política Reaça,privado,movimentos suprapartidários,NA,"c(""Outras"", ""Educação"")","Outras, Educação","Franca, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/politicareaca?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
POTIRENDABA É BOLSONARO,público,canais de comunicação,fanpages,"""Outras""",Outras,"Potirendaba, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/bolsonaropotirendaba?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Pró-Direita Conservadora no Brasil,privado,canais de comunicação,youtube,"""Cinema e vídeo""",Cinema e vídeo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,pontual,https://apoia.se/tenbarrosmoreira?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Programa da Esther,privado,canais de comunicação,youtube,"""Cinema e vídeo""",Cinema e vídeo,"Ribeirão Preto, SP",SP,Sudeste,entre R$0 e R$499,105.00,3,35.00,entre 0 e 4,"R$ 10,000.00",mais de R$10 mil,recorrente,https://apoia.se/esther?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Rádio Pauta do Povo,privado,canais de comunicação,podcast,"c(""Empreendedorismo"", ""Jornalismo"")","Empreendedorismo, Jornalismo","São Paulo, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 20,000.00",mais de R$10 mil,recorrente,https://apoia.se/pautadopovo?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
RBR - Ressurreição Brasileira,privado,canais de comunicação,fanpages,"""Jornalismo""",Jornalismo,"São Paulo, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/ressurreicaobrasileira,Setembro
Reaviva Mack - A Direita respira!,público,movimentos suprapartidários,NA,"c(""Educação"", ""Empreendedorismo"")","Educação, Empreendedorismo","SP, São Paulo",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/reavivamack,Março
República do Rio de Janeiro,privado,movimentos suprapartidários,site/blog,"""Jornalismo""",Jornalismo,"Rio de Janeiro, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/republicadoriodejaneiro?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
simaoluizjr,privado,canais de comunicação,youtube,"c(""Podcast"", ""Outras"")","Podcast, Outras","Brasília, DF",DF,Centro-Oeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 300.00,entre R$1 e R$499,recorrente,https://apoia.se/simaoluizjr?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Site de direita CONTRAPONTO.,privado,canais de comunicação,múltiplos,"""Jornalismo""",Jornalismo,"Nova Iguaçu, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/site-contrapontobr,"c(Março,Setembro)"
SomostodosBrasil,privado,canais de comunicação,fanpages,"c(""Outras"", ""Jornalismo"")","Outras, Jornalismo",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/somostodosbrasil?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Talkey Sites,público,canais de comunicação,múltiplos,"c(""Outras"", ""Jornalismo"")","Outras, Jornalismo",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/talkeynews?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Tirar o Nordeste da esquerda,privado,canais de comunicação,fanpages,"""Outras""",Outras,"Teresina, PI",PI,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 50.00,entre R$1 e R$499,recorrente,https://apoia.se/bolsonarodonordeste?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Um Brasil Melhor,privado,canais de comunicação,youtube,"""Cinema e vídeo""",Cinema e vídeo,"Ipuã, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/canaldoscorsato?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
UNIÃO DA DIREITA JOVEM,público,movimentos suprapartidários,NA,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras","BA, Jequié",BA,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/udj,Março
Vakinha pra um notebook,privado,canais de comunicação,NA,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 10,000.00",mais de R$10 mil,recorrente,https://apoia.se/brasilresistente,Setembro
VAMOS ENDIREITAR O RIO?,público,canais de comunicação,site/blog,"c(""Outras"", ""Educação"")","Outras, Educação","Duque de Caxias, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 5,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/endireitariodejaneiro?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Vida Destra,privado,canais de comunicação,outros,"""Jornalismo""",Jornalismo,"SP, Indaiatuba",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,NA,https://apoia.se/vidadestra,Março
Virando à Direita,privado,canais de comunicação,múltiplos,"c(""Educação"", ""Outras"")","Educação, Outras","Rio de Janeiro, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 5,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/vireadireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
YOUTUBERS DE DIREITA,privado,canais de comunicação,youtube,"c(""Educação"", ""Jornalismo"")","Educação, Jornalismo","Guarulhos, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 5.00,entre R$1 e R$499,recorrente,https://apoia.se/youtubersdedireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
